time (s),T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4
14.19,30.740000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
14.42,30.740000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
14.62,30.740000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
14.85,30.740000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
15.07,30.740000,30.680000,30.680000,30.680000,30.680000,30.630000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
15.29,30.710000,30.680000,30.680000,30.680000,30.680000,30.630000,-356.580000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
15.52,30.710000,30.680000,30.680000,30.680000,30.680000,30.630000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
15.75,30.710000,30.680000,30.710000,30.680000,30.680000,30.630000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
15.96,30.710000,30.680000,30.710000,30.680000,30.680000,30.630000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
16.18,30.710000,30.680000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
16.38,30.710000,30.680000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
16.59,30.710000,30.680000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
16.79,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
16.99,30.710000,30.660000,30.710000,30.680000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
17.20,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
17.42,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
17.63,30.710000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
17.84,30.680000,30.660000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
18.06,30.680000,30.680000,30.710000,30.660000,30.710000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.620000,0.000,0.000,0.000,0.000
